ProductID,ProductName,SupplierID,Price,Category
1,Expedite Transparent Web-Readiness,15,2689888.0,Food
2,Streamline Dot-Com Paradigms,144,418209.0,Electronics
3,Engineer Scalable Synergies,298,2742042.0,Clothing
4,Disintermediate Mission-Critical Roi,32,4720678.0,Clothing
5,Enable B2C Bandwidth,291,2665109.0,Furniture
6,Revolutionize Synergistic E-Markets,135,1966318.0,Electronics
7,Reinvent Vertical Communities,390,2320330.0,Books
8,Innovate Innovative Action-Items,402,2681370.0,Food
9,Deploy 24/365 Models,204,4575770.0,Food
10,Seize User-Centric Technologies,406,4345068.0,Food
11,Unleash Mission-Critical E-Tailers,96,647045.0,Sports
12,Syndicate Enterprise Schemas,38,3710863.0,Food
13,Incubate Interactive Partnerships,469,2784977.0,Furniture
14,Enhance Open-Source Deliverables,81,243221.0,Clothing
15,Unleash Collaborative Functionalities,482,260634.0,Clothing
16,Harness Magnetic E-Commerce,55,720471.0,Books
17,Matrix One-To-One Web-Readiness,341,3890895.0,Clothing
18,Orchestrate Synergistic Vortals,407,2788407.0,Furniture
19,Disintermediate Granular Interfaces,170,4915492.0,Books
20,Engage Intuitive Channels,67,1570369.0,Food
21,Grow End-To-End Web-Readiness,292,4451912.0,Clothing
22,Incubate One-To-One Info-Mediaries,241,302681.0,Books
23,Optimize Out-Of-The-Box Markets,23,849406.0,Food
24,Synthesize Leading-Edge Supply-Chains,280,4366728.0,Electronics
25,Strategize Strategic Vortals,481,3455286.0,Electronics
26,Whiteboard Global E-Tailers,306,1786626.0,Books
27,Syndicate Killer Portals,312,64900.0,Electronics
28,Engage User-Centric Portals,11,3841939.0,Food
29,Evolve Ubiquitous Niches,187,3598386.0,Sports
30,Syndicate E-Business Applications,32,3515080.0,Furniture
31,Incentivize Enterprise Niches,192,936259.0,Furniture
32,Target Distributed Web-Readiness,458,4658270.0,Food
33,Target B2C Initiatives,138,1801134.0,Clothing
34,Morph Frictionless Applications,481,2785945.0,Sports
35,Unleash Visionary Deliverables,46,4718093.0,Sports
36,Integrate One-To-One Schemas,180,140739.0,Food
37,Deliver Bricks-And-Clicks Partnerships,345,2843718.0,Books
38,Optimize B2B Deliverables,110,2328021.0,Electronics
39,E-Enable 24/365 Niches,169,1815424.0,Food
40,Visualize Viral Eyeballs,295,587768.0,Clothing
41,Synergize Bricks-And-Clicks E-Markets,28,2728788.0,Food
42,Transform Scalable Markets,286,1059777.0,Electronics
43,Transition Sticky Web Services,70,3676225.0,Electronics
44,Aggregate Strategic Action-Items,131,1938058.0,Furniture
45,Transform Cross-Platform Functionalities,479,1926829.0,Food
46,Seize Bleeding-Edge Synergies,421,1721970.0,Electronics
47,Deploy Compelling Bandwidth,463,4499670.0,Sports
48,Expedite Real-Time Convergence,486,4194861.0,Sports
49,Engage 24/365 Synergies,492,4520251.0,Books
50,Architect Sticky Methodologies,98,4450781.0,Electronics
51,Extend Rich Experiences,56,2390491.0,Sports
52,Incentivize Back-End Convergence,234,2865457.0,Sports
53,Expedite Real-Time Channels,437,2361476.0,Electronics
54,Innovate Intuitive Channels,424,1467062.0,Clothing
55,Unleash Granular E-Markets,368,3679085.0,Furniture
56,Engage Mission-Critical Synergies,269,3465312.0,Clothing
57,Disintermediate Distributed Communities,46,1252248.0,Clothing
58,Generate Cutting-Edge Web-Readiness,42,2471669.0,Clothing
59,Extend Intuitive Action-Items,378,2635801.0,Furniture
60,Extend B2C Mindshare,354,2429571.0,Food
61,Iterate Global Bandwidth,11,575239.0,Books
62,Embrace Back-End Schemas,457,4991222.0,Electronics
63,Benchmark Bricks-And-Clicks Portals,293,2965051.0,Furniture
64,Evolve Wireless Action-Items,315,1634114.0,Food
65,Expedite Interactive Platforms,252,1919202.0,Clothing
66,Engage Intuitive Content,172,3369527.0,Clothing
67,Incentivize Dynamic Eyeballs,230,744604.0,Clothing
68,Deploy Mission-Critical Deliverables,442,2161165.0,Electronics
69,Disintermediate Cross-Platform Relationships,332,476476.0,Clothing
70,Whiteboard Wireless Niches,186,317914.0,Electronics
71,Synergize Intuitive Synergies,163,1854704.0,Food
72,Scale Cross-Platform Roi,363,3006466.0,Books
73,Iterate Granular Partnerships,341,379367.0,Furniture
74,Mesh Web-Enabled Infrastructures,350,419100.0,Books
75,Enable Robust Communities,285,1440456.0,Electronics
76,Engineer Integrated Relationships,286,4316393.0,Books
77,Disintermediate Cross-Platform Systems,482,3014189.0,Sports
78,Enhance Wireless Niches,207,2356648.0,Electronics
79,Syndicate Bricks-And-Clicks E-Markets,486,3621690.0,Electronics
80,Expedite Cross-Platform Portals,164,4711115.0,Books
81,Engage Bleeding-Edge Schemas,216,2626347.0,Electronics
82,Generate Frictionless Solutions,243,922142.0,Food
83,Productize Revolutionary Content,215,4993103.0,Electronics
84,Implement Leading-Edge E-Services,111,764573.0,Electronics
85,Transform Frictionless Portals,187,208904.0,Books
86,Whiteboard Distributed Architectures,431,3021284.0,Sports
87,Evolve Real-Time Metrics,463,122790.0,Food
88,Envisioneer Wireless Platforms,376,1024875.0,Electronics
89,E-Enable Back-End Web-Readiness,434,4421568.0,Clothing
90,Enhance Open-Source Technologies,488,2703764.0,Sports
91,Harness Sticky Communities,239,3974538.0,Books
92,Transition User-Centric E-Commerce,475,655673.0,Clothing
93,E-Enable Best-Of-Breed Synergies,478,2616816.0,Sports
94,Iterate Frictionless E-Business,46,2457877.0,Sports
95,Innovate Cross-Platform Web-Readiness,237,2160383.0,Sports
96,Monetize Back-End Metrics,195,4996642.0,Sports
97,Disintermediate Revolutionary Vortals,453,4021264.0,Electronics
98,Iterate Distributed Partnerships,361,1862898.0,Food
99,Transform Seamless E-Markets,379,3727977.0,Clothing
100,Deploy Dynamic Functionalities,252,938136.0,Electronics
101,Evolve Innovative E-Business,401,1928439.0,Sports
102,Enable Dot-Com Paradigms,310,3588973.0,Clothing
103,Morph Impactful Communities,186,1633925.0,Sports
104,Synergize Efficient Models,416,2085154.0,Clothing
105,Optimize Collaborative Metrics,462,727155.0,Electronics
106,Extend Open-Source Networks,267,3772753.0,Furniture
107,Whiteboard 24/7 Partnerships,344,1595519.0,Books
108,Facilitate Value-Added Vortals,397,3485536.0,Food
109,Reinvent Front-End E-Markets,222,4380891.0,Sports
110,Unleash Sticky Content,280,4163214.0,Electronics
111,Visualize Impactful Vortals,318,3706334.0,Furniture
112,Iterate Transparent Metrics,128,1056144.0,Food
113,Engineer Distributed Communities,198,645126.0,Sports
114,Embrace Vertical Solutions,79,3646816.0,Food
115,Synergize Revolutionary Schemas,215,139667.0,Sports
116,Re-Contextualize Wireless Supply-Chains,153,1240026.0,Furniture
117,Integrate Mission-Critical Architectures,188,1733758.0,Sports
118,Facilitate Back-End Mindshare,251,2869322.0,Sports
119,Engage Extensible Initiatives,40,3962208.0,Food
120,Facilitate Synergistic Infrastructures,85,2118184.0,Books
121,Productize Open-Source Metrics,5,2802809.0,Sports
122,Revolutionize Wireless E-Business,100,426230.0,Furniture
123,Embrace Granular Interfaces,111,4294049.0,Furniture
124,Redefine Robust Networks,84,4791050.0,Furniture
125,Leverage Best-Of-Breed Methodologies,202,3109368.0,Clothing
126,Extend Robust Web-Readiness,404,3371596.0,Clothing
127,Evolve Customized E-Commerce,441,2665943.0,Furniture
128,Envisioneer Customized Schemas,230,4631466.0,Electronics
129,Innovate Impactful E-Commerce,63,3978592.0,Books
130,Transition Customized E-Commerce,466,3510194.0,Books
131,Optimize Customized Functionalities,262,456262.0,Furniture
132,Orchestrate Granular Portals,444,1263623.0,Sports
133,Implement Distributed Web Services,34,2749997.0,Electronics
134,Empower Interactive Convergence,314,2387183.0,Clothing
135,Matrix E-Business Info-Mediaries,374,1688094.0,Books
136,Facilitate Mission-Critical Info-Mediaries,444,4264875.0,Food
137,Productize Ubiquitous E-Tailers,82,569421.0,Sports
138,Implement Seamless Relationships,119,1219369.0,Sports
139,Morph Strategic Initiatives,359,4695309.0,Food
140,Streamline Real-Time Solutions,313,4868440.0,Books
141,Maximize Innovative Relationships,9,2737175.0,Food
142,Enhance Out-Of-The-Box Action-Items,361,2329111.0,Electronics
143,Seize Intuitive Partnerships,29,1057968.0,Books
144,Cultivate Granular Interfaces,10,4436478.0,Electronics
145,Aggregate Dot-Com Mindshare,172,555852.0,Clothing
146,Enable Best-Of-Breed Initiatives,200,3718786.0,Clothing
147,Syndicate Synergistic Metrics,420,4026679.0,Electronics
148,Empower End-To-End Convergence,202,3907285.0,Electronics
149,Exploit Cross-Media Supply-Chains,350,396013.0,Food
150,Transform Integrated Deliverables,422,2038698.0,Electronics
151,Cultivate Clicks-And-Mortar Systems,66,3101772.0,Books
152,Evolve Wireless E-Tailers,100,4815141.0,Furniture
153,Morph Frictionless Platforms,51,3732788.0,Food
